DATE,CURRENCY
2002-10-10,1247.8
2002-10-11,1260.0
2002-10-14,1249.0
2002-10-15,1250.0
2002-10-16,1236.9
2002-10-17,1244.0
2002-10-18,1250.0
2002-10-21,1230.0
2002-10-22,1241.0
2002-10-23,1230.0
2002-10-24,1221.9
2002-10-25,1221.6
2002-10-28,1223.5
2002-10-29,1212.0
2002-10-30,1231.0
2002-10-31,1223.0
2002-11-01,1224.3
2002-11-04,1221.0
2002-11-05,1218.0
2002-11-06,1224.0
2002-11-07,1207.2
2002-11-08,1197.0
2002-11-11,1190.6
2002-11-12,1202.0
2002-11-13,1192.2
2002-11-14,1201.7
2002-11-15,1212.0
2002-11-18,1210.0
2002-11-19,1212.0
2002-11-20,1211.5
2002-11-21,1216.0
2002-11-22,1215.0
2002-11-25,1211.5
2002-11-26,1196.1
2002-11-27,1207.0
2002-11-28,1207.6
2002-11-29,1198.7
2002-12-02,1210.4
2002-12-03,1217.2
2002-12-04,1216.4
2002-12-05,1220.0
2002-12-06,1220.0
2002-12-09,1206.0
2002-12-10,1211.0
2002-12-11,1207.0
2002-12-12,1207.0
2002-12-13,1204.0
2002-12-16,1198.0
2002-12-17,1200.0
2002-12-18,1201.0
2002-12-19,1201.0
2002-12-20,1203.0
2002-12-23,1198.0
2002-12-24,1200.5
2002-12-25,1200.5
2002-12-26,1199.8
2002-12-27,1197.5
2002-12-30,1197.0
2002-12-31,1185.8
2003-01-01,1185.8
2003-01-02,1187.0
2003-01-03,1196.6
2003-01-06,1185.0
2003-01-07,1181.0
2003-01-08,1182.0
2003-01-09,1180.0
2003-01-10,1177.0
2003-01-13,1175.0
2003-01-14,1170.0
2003-01-15,1169.9
2003-01-16,1167.0
2003-01-17,1173.4
2003-01-20,1174.2
2003-01-21,1174.0
2003-01-22,1177.0
2003-01-23,1175.4
2003-01-24,1163.0
2003-01-27,1160.6
2003-01-28,1169.0
2003-01-29,1164.0
2003-01-30,1163.0
2003-01-31,1163.0
2003-02-03,1180.0
2003-02-04,1171.0
2003-02-05,1174.2
2003-02-06,1170.0
2003-02-07,1183.8
2003-02-10,1195.5
2003-02-11,1202.0
2003-02-12,1192.0
2003-02-13,1202.3
2003-02-14,1193.5
2003-02-17,1207.0
2003-02-18,1194.0
2003-02-19,1197.0
2003-02-20,1187.4
2003-02-21,1189.0
2003-02-24,1186.0
2003-02-25,1187.0
2003-02-26,1183.0
2003-02-27,1181.0
2003-02-28,1193.6
2003-03-03,1182.6
2003-03-04,1193.0
2003-03-05,1199.1
2003-03-06,1215.0
2003-03-07,1218.6
2003-03-10,1240.0
2003-03-11,1221.5
2003-03-12,1242.6
2003-03-13,1240.5
2003-03-14,1241.2
2003-03-17,1245.5
2003-03-18,1250.5
2003-03-19,1256.0
2003-03-20,1244.0
2003-03-21,1252.0
2003-03-24,1250.0
2003-03-25,1249.0
2003-03-26,1244.0
2003-03-27,1246.9
2003-03-28,1258.0
2003-03-31,1250.0
2003-04-01,1256.0
2003-04-02,1254.0
2003-04-03,1254.0
2003-04-04,1257.9
2003-04-07,1257.4
2003-04-08,1253.0
2003-04-09,1244.0
2003-04-10,1229.5
2003-04-11,1229.5
2003-04-14,1223.0
2003-04-15,1218.0
2003-04-16,1212.0
2003-04-17,1205.0
2003-04-18,1203.8
2003-04-21,1207.0
2003-04-22,1217.0
2003-04-23,1220.0
2003-04-24,1220.4
2003-04-25,1237.0
2003-04-28,1220.5
2003-04-29,1214.0
2003-04-30,1213.5
2003-05-01,1212.0
2003-05-02,1212.0
2003-05-05,1215.0
2003-05-06,1199.0
2003-05-07,1198.6
2003-05-08,1197.0
2003-05-09,1201.0
2003-05-12,1191.0
2003-05-13,1199.0
2003-05-14,1195.0
2003-05-15,1196.1
2003-05-16,1199.8
2003-05-19,1190.0
2003-05-20,1200.0
2003-05-21,1194.2
2003-05-22,1195.2
2003-05-23,1194.0
2003-05-26,1198.8
2003-05-27,1198.2
2003-05-28,1200.4
2003-05-29,1207.0
2003-05-30,1208.0
2003-06-02,1202.0
2003-06-03,1203.0
2003-06-04,1199.0
2003-06-05,1200.2
2003-06-06,1200.2
2003-06-09,1195.0
2003-06-10,1194.2
2003-06-11,1195.2
2003-06-12,1193.2
2003-06-13,1191.9
2003-06-16,1190.1
2003-06-17,1183.0
2003-06-18,1185.0
2003-06-19,1197.0
2003-06-20,1190.5
2003-06-23,1190.2
2003-06-24,1192.0
2003-06-25,1189.0
2003-06-26,1186.5
2003-06-27,1193.0
2003-06-30,1194.0
2003-07-01,1190.0
2003-07-02,1187.1
2003-07-03,1183.4
2003-07-04,1180.0
2003-07-07,1181.9
2003-07-08,1180.1
2003-07-09,1179.0
2003-07-10,1177.0
2003-07-11,1177.0
2003-07-14,1176.0
2003-07-15,1177.0
2003-07-16,1178.0
2003-07-17,1178.0
2003-07-18,1184.0
2003-07-21,1178.4
2003-07-22,1182.8
2003-07-23,1180.8
2003-07-24,1179.6
2003-07-25,1180.1
2003-07-28,1183.0
2003-07-29,1178.5
2003-07-30,1179.8
2003-07-31,1180.0
2003-08-01,1183.0
2003-08-04,1184.0
2003-08-05,1186.0
2003-08-06,1186.0
2003-08-07,1184.9
2003-08-08,1181.0
2003-08-11,1178.0
2003-08-12,1178.0
2003-08-13,1179.0
2003-08-14,1178.0
2003-08-15,1177.0
2003-08-18,1178.0
2003-08-19,1178.0
2003-08-20,1175.5
2003-08-21,1172.0
2003-08-22,1165.0
2003-08-25,1170.0
2003-08-26,1169.0
2003-08-27,1178.0
2003-08-28,1178.0
2003-08-29,1174.0
2003-09-01,1175.3
2003-09-02,1178.0
2003-09-03,1174.0
2003-09-04,1175.0
2003-09-05,1170.0
2003-09-08,1169.0
2003-09-09,1170.0
